Fund,Fund ID,Fund Description,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,2,County Treasurer,County Treasurer,Office Supplies,,,County Treasurer,"2,600","2,000","2,000","1,500","2,000","2,000","2,000","1,600","1,600","1,600","1,600","2,100","2,100","1,163","1,083",296,"1,432",349,"2,402","1,789","1,414","1,089","1,832","1,871","1,707","1,430","1,432","1,427","1,232","1,894","2,095","1,163","1,056",296,"1,432",349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,2,County Treasurer,County Treasurer,Postage,,,County Treasurer,"13,862","14,200","8,500","10,000","8,500","8,500","9,200","10,000","11,500","14,350","14,450","13,250","14,850","17,401","11,776","4,317","3,320",320,"13,797","14,184","8,376","9,864","8,321","8,090","8,983","9,953","11,480","14,327","14,420","13,232","14,850","17,401","11,776","4,317","3,320",320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,2,County Treasurer,County Treasurer,Travel,,,County Treasurer,"1,648","1,135","1,135","1,135","1,135","1,385","1,385","1,085","1,050",750,750,"1,050",699,899,802,374,0,0,"1,445",668,"1,075",809,"1,129",771,"1,166",826,776,659,658,878,699,899,802,374,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,2,County Treasurer,County Treasurer,Publishing,,,County Treasurer,"2,800","3,000","2,800","2,800","3,300","3,300","3,300","3,900","3,600","1,800","2,700","2,600","2,522","3,721","1,000",0,0,0,"2,787","2,923","1,747","2,770","2,623","2,445","2,745","3,839","3,535","1,732","2,602","2,586","2,522","3,721","1,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,2,County Treasurer,County Treasurer,Telephone,,,County Treasurer,"1,300","1,550","1,750","1,250","1,500","1,250","1,250","1,250","1,053","1,200","1,200","1,400","1,169","1,200","1,200","1,219","1,191","1,187","1,128",875,790,926,851,891,879,"1,056",762,"1,029","1,113","1,153","1,169","1,174","1,182","1,219","1,191","1,187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,2,County Treasurer,County Treasurer,Equipment Repairs,,,County Treasurer,"1,400","10,000","2,000","2,000","1,500","1,500","1,500","1,400","1,100","1,300","1,100",800,"1,487","1,081","1,131","1,100","1,295","1,507","1,211",628,"1,048",630,"1,206",703,"1,179",988,941,"1,106",961,693,"1,487",992,"1,131","1,100","1,295","1,507",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,2,County Treasurer,County Treasurer,Insurance,,,County Treasurer,900,900,900,900,"1,150","1,150","1,150","1,150","1,150",950,900,"1,150","1,057",942,942,781,2,530,857,857,857,857,880,880,880,880,882,880,880,994,"1,057",942,46,781,2,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,2,County Treasurer,County Treasurer,Education & Training,,,County Treasurer,200,200,700,200,700,700,0,0,250,50,0,250,0,0,0,15,200,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,15,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,2,County Treasurer,County Treasurer,Miscellaneous,,,County Treasurer,200,400,600,600,600,600,600,700,600,500,600,600,488,0,46,0,0,200,20,295,345,345,345,410,410,395,306,321,345,345,488,0,942,0,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,2,County Treasurer,County Treasurer,Equipment,,,County Treasurer,"5,000",0,"1,500","1,500","1,500","1,500","1,500",800,500,300,0,500,486,0,0,0,0,0,"4,913",0,529,"1,151",422,"1,086","1,340",706,0,140,0,330,472,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,3,Coroner's Expenses,Coroner's Expenses,Salaries & Benefits,,,,"20,160","20,160","25,000","25,000","25,000","26,200","37,900","41,400","41,400","41,400","42,277","43,474","44,706","45,975","47,261","50,145","46,926","46,930","20,160","20,160","23,790","25,000","25,000","26,200","37,900","41,400","41,400","41,400","42,278","43,474","44,706","45,975","40,808","46,295","46,901","46,926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,3,Coroner's Expenses,Coroner's Expenses,Office Supplies,,,Coroner,754,"1,535",522,374,902,"1,852","1,454","1,407",637,"1,078",409,873,724,"1,057",408,"4,085","4,672","2,500",754,332,311,374,871,"1,852","1,454","1,393",622,"1,078",409,873,724,"1,057",408,"4,031","4,672",811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,3,Coroner's Expenses,Coroner's Expenses,Postage,,,Coroner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,3,Coroner's Expenses,Coroner's Expenses,Medical Exams,,,Coroner,"17,559","10,250","12,403","13,028","15,743","20,356","22,150","23,334","21,762","24,873","22,737","22,192","34,617","21,127","28,367","18,030","17,462","20,588","17,595","10,059","12,403","13,028","15,743","20,356","22,124","23,334","21,512","24,873","22,738","22,192","34,616","21,127","28,368","9,277","12,407","13,065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,3,Coroner's Expenses,Coroner's Expenses,Deputy Coroner Fees,,,Coroner,870,"1,000","1,500","1,500","1,500","1,500",931,661,521,450,400,550,600,300,400,"1,000","1,000",800,870,840,805,"1,072","1,180","1,250",388,661,521,450,400,550,600,300,400,200,100,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,3,Coroner's Expenses,Coroner's Expenses,Special Fund for Extra Service,,,Coroner,0,0,0,0,0,0,0,0,0,0,0,"10,000","10,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,000","10,000",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,3,Coroner's Expenses,Coroner's Expenses,Telephone,,,Coroner,"1,132","1,323","1,500","1,500","1,803","2,271","1,965","2,132","2,402","2,864","3,268","2,206","2,248","2,396","2,515","1,600","1,875","1,800","1,132","1,323","1,187","1,347","1,803","2,271","1,947","2,132","2,313","2,864",825,"2,206","2,248","2,396","2,443","1,460","1,875","1,346",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,3,Coroner's Expenses,Coroner's Expenses,Insurance,,,Coroner,0,50,170,50,150,50,172,50,0,0,269,0,15,0,269,100,5,10,0,0,170,0,151,0,172,0,0,0,"3,269",0,0,0,269,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,3,Coroner's Expenses,Coroner's Expenses,Education & Training,,,Coroner,90,677,"1,000","1,000","1,406","1,149","1,183","1,000",600,845,830,875,925,"4,153","4,453","5,525","6,500","6,700",90,75,410,95,"1,406","1,149","1,183",770,600,845,269,875,925,"4,153","4,365","4,357","5,304","4,596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,3,Coroner's Expenses,Coroner's Expenses,Transportation Fees,,,Coroner,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,014","2,000","2,000","2,000","2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,000","1,800",700,"1,200","1,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,3,Coroner's Expenses,Coroner's Expenses,Office Rent,,,Coroner,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,200","2,400","1,200","1,300","1,200",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,200","2,400","1,100","1,300","1,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,3,Coroner's Expenses,Coroner's Expenses,Coroner's Jurors Fees,,,Coroner,630,"1,200","1,200",843,581,"1,107",730,"1,500","1,199",990,807,830,665,158,281,150,418,500,630,417,602,790,581,577,630,360,"1,199",900,807,830,665,158,281,138,135,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,4,Burial of Soldiers,Burial of Soldiers,Miscellaneous,,,County Board Office,0,"1,000","1,000","1,000","1,000","1,000","1,000","1,000",955,100,"1,827",100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,827",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,5,County Board,County Board,Salaries & Benefits,,,County Board Office,"58,974","60,048","71,008","72,531","73,880","63,201","75,406","77,408","110,538","134,718","133,199","129,454","129,501","131,849","83,200","86,300","86,450","83,802","57,755","57,380","65,155","70,823","73,813","60,933","73,038","77,408","110,538","128,488","133,200","129,452","129,501","131,849","82,700","86,270","86,450","80,950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,5,County Board,County Board,Office Supplies,,,County Board Office,"1,150",750,"1,282",856,"1,052","2,100","2,450","3,676","2,350","1,707","1,182","1,460","1,852",526,0,0,0,0,"1,045",605,"1,124",620,"1,052","1,682","2,302","3,665","1,595","1,689","1,160","1,460","1,733",526,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,5,County Board,County Board,Postage,,,County Board Office,400,704,800,904,435,"1,200",750,776,"1,000","1,293",660,922,"1,300",830,0,0,0,0,372,704,800,533,435,792,750,776,845,"1,293",660,922,"1,195",741,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,5,County Board,County Board,Committee Meetings & Mileage,,,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"35,300","26,275","27,935","28,735",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"28,456","25,546","27,270","28,735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,5,County Board,County Board,Travel,,,County Board Office,"10,450","10,196","9,950","10,090","13,310","11,942","11,642","10,653","10,942","10,742","10,800","10,224","10,797","11,703",0,0,0,39,"10,255","9,044","7,543","7,334","12,128","9,163","8,275","10,653","10,514","9,543","10,801","10,224","10,797","11,703",0,0,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,5,County Board,County Board,Printing,,,County Board Office,260,460,278,"1,720","1,111",365,765,"1,054",900,"1,100",876,"1,032","1,039",503,0,0,0,0,258,435,277,"1,720","1,111",299,574,"1,054",695,"1,033",804,"1,032",938,503,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,5,County Board,County Board,Prescription Discounts,,,County Board Office,0,0,0,0,0,0,0,0,"1,500","1,500",185,27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,003",312,150,27,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,5,County Board,County Board,Equipment Repair,,,County Board Office,0,0,0,0,0,0,0,0,"3,878","2,500",552,323,"1,200","2,071",0,0,0,0,0,0,0,0,0,0,0,0,"2,972","2,047",532,323,"1,076","2,071",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,5,County Board,County Board,Miscellaneous,,,County Board Office,0,0,0,0,0,0,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,5,County Board,County Board,Telephone,,,County Board Office,"1,350","1,350","1,650","1,331","1,350","1,650","2,150","1,053","2,889","2,150","2,173","2,158","2,300","1,558",0,0,0,0,"1,285","1,256","1,357","1,185","1,097","1,194","1,511","1,053","2,744","1,935","2,173","2,158","2,148","1,549",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,6,Courthouse,Courthouse,Supplies,,,Sheriff,"7,410","10,371","7,945","9,508","3,950","8,754","4,538","8,953","3,124","2,663","3,373","2,707","5,080","6,720","4,342","5,230","7,967",23,"7,410","10,355","7,027","6,009","3,950","8,754","4,538","4,680","3,124","2,663","3,373","2,707","5,080","6,720","4,342","5,230","7,967",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,6,Courthouse,Courthouse,Utilities,,,Sheriff,"24,359","36,000","34,449","36,830","30,055","38,876","44,320","48,440","43,138","45,734","48,368","49,599","52,500","63,558","54,779","58,204","58,028","44,746","24,359","32,011","33,524","36,830","30,055","38,876","44,320","48,440","43,138","45,734","48,369","49,598","48,545","63,558","54,779","57,185","58,028","44,746",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,6,Courthouse,Courthouse,Equipment Repair,,,Sheriff,"35,277","20,416","21,581","24,162","43,342","33,669","19,536","34,000","19,600","16,664","13,287","18,894","34,061","48,918","52,858","48,341","42,110","6,664","35,277","20,416","21,581","24,162","43,342","33,669","19,536","32,182","19,600","16,664","13,288","18,894","34,061","48,856","52,858","48,341","42,110","6,664",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,6,Courthouse,Courthouse,Equipment,,,Sheriff,625,713,0,"3,000",153,"3,000",235,"3,000",538,940,470,0,0,0,0,200,0,0,625,713,0,0,0,0,235,0,538,940,470,0,0,0,0,168,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,6,Courthouse,Courthouse,Building Repair,,,Sheriff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30,741","19,794",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30,741","19,794",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,6,Courthouse,Courthouse,Capital Outlay,,,Sheriff,0,0,0,0,0,0,0,0,0,0,0,0,"1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,6,Courthouse,Courthouse,Miscellaneous,,,Sheriff,829,"1,000",525,"1,000","1,000",201,279,"4,106",0,400,0,300,"30,359","75,805","11,021","11,025","18,444","15,922",275,484,525,680,955,0,279,"4,106",0,400,0,300,"11,496","75,805","11,021","11,021","18,444","15,922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,7,Elections,Elections,Salaries & Benefits,,,County Clerk,"40,869","44,994","54,188","44,591","63,528","38,527","63,356","46,802","75,340","53,500","75,300","53,000","90,800","53,956","100,966","59,928","83,594","52,690","40,811","44,974","54,181","44,491","63,528","29,610","63,356","46,802","75,340","41,355","74,571","40,600","88,109","48,002","100,967","59,286","83,594","50,069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,7,Elections,Elections,Office Supplies,,,County Clerk,"12,311","14,972","12,902","13,000","13,649","28,220","8,541","35,897","12,952","24,273","29,900","22,000","30,900","39,444","21,529","20,000","22,963","12,703","12,311","14,972","12,902","12,811","13,649","28,220","8,541","35,897","12,952","24,273","29,613","16,498","29,972","39,444","21,529","19,552","22,963","12,595",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,7,Elections,Elections,Postage,,,County Clerk,0,0,0,0,0,0,0,0,0,0,"10,570","13,000","13,000","20,000","6,030","6,500","5,530","17,213",0,0,0,0,0,0,0,0,0,0,"10,570","13,000","13,000","20,000","6,030","5,000","5,530","17,213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,7,Elections,Elections,Printing,,,County Clerk,"21,000","20,652","26,997","25,097","12,757","27,000",885,"10,000","5,949","25,000","44,000","37,000","30,500","24,472","12,449","17,500","32,814","16,909","20,849","20,652","26,997","25,097","12,757","26,885",885,0,"5,949","24,903","40,968","24,624","28,725","23,928","12,449","17,460","32,814","16,909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,7,Elections,Elections,Election Setup & Rent,,,County Clerk,"10,000","14,766","13,548","13,671","12,693","10,000","15,000","15,000","5,878","11,000","15,500","12,200","5,700","2,840","2,203","5,000","5,602","4,804","7,374","14,766","13,548","13,671","12,693","9,641","12,278","14,105","5,878","7,792","9,631","3,765","4,620","1,730","2,203","3,870","5,602","3,509",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,7,Elections,Elections,Publishing,,,County Clerk,"11,854","20,017","11,490","18,673","20,774","21,500","12,892","15,000","12,628","13,732","15,000","13,000","18,500","12,729","17,333","15,650","15,043","12,351","11,854","20,017","11,490","18,673","20,774","21,284","12,892","11,251","12,628","9,528","10,301","8,994","15,773","12,729","17,333","15,646","15,043","12,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,7,Elections,Elections,Education/Training,,,County Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,000",266,"1,199",265,300,0,0,0,0,0,0,0,0,0,0,0,0,0,640,267,283,265,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,7,Elections,Elections,System Updates & Programming,,,County Clerk,"26,966","24,828","29,698","26,000","31,593","20,436","12,358","23,198","61,047","32,000","50,000","56,000","42,000","57,994","21,980","51,400","54,709","62,372","26,646","24,828","29,697","25,118","31,582","20,436","12,358","20,100","61,047","14,811","49,839","54,490","34,056","57,994","21,980","51,398","54,709","62,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,7,Elections,Elections,Equipment Repair & Maintenance,,,County Clerk,0,0,0,0,0,0,0,0,0,0,"21,200","25,000","19,700","26,700","42,707","33,100","36,377","32,420",0,0,0,0,0,0,0,0,0,0,"21,066","15,417","19,322","26,450","42,707","33,098","36,377","31,944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,7,Elections,Elections,Equipment,,,County Clerk,0,860,0,"1,000",0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,860,0,849,0,0,0,0,0,0,0,0,0,0,0,0,350,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,7,Elections,Elections,Election Expense,,,County Clerk,"12,000","12,911","11,177","10,968","6,006","12,000","64,293","15,892","13,172","30,496","25,499","42,155","22,100","21,800","7,989","11,500","5,532","10,018","11,601","12,911","11,177","10,898","6,006","11,949","62,978","15,892","13,150","27,800","15,950","15,103","21,481","18,447","7,989","10,949","5,532","8,943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,7,Elections,Elections,Capital Outlay,,,County Clerk,0,0,0,0,0,"2,317",675,"8,210","9,700","293,000","6,230","12,000","1,500","3,350",0,0,0,0,0,0,0,0,0,"2,317",675,"1,559","9,700","254,935","15,778",0,0,"3,350",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,8,Supervisor of Assessments,Supervisor of Assessments,Salaries & Benefits,,,Supervisor of Assessments,"88,764","94,126","113,940","117,847","130,328","135,052","142,818","137,777","132,760","129,741","129,741","129,741","170,905","169,200","151,671","136,679","125,332","116,000","88,764","90,757","105,647","117,631","128,658","132,596","138,650","135,470","124,179","121,750","121,337","118,442","136,964","152,941","151,670","136,679","119,959","111,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,8,Supervisor of Assessments,Supervisor of Assessments,Office Supplies,,,Supervisor of Assessments,"1,830","1,000","1,000","1,000","1,034","1,000","1,000","1,000","1,000","1,000","1,000","1,300","1,300","1,300",249,"2,185","1,752","1,800","1,830",886,861,846,"1,034",292,657,410,557,805,298,451,"1,233",902,249,"2,185",925,"1,434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Fund,1,,8,Supervisor of Assessments,Supervisor of Assessments,Postage,,,Supervisor of Assessments,"9,290","10,000","10,000","10,000","8,190","9,000","6,730","8,000","8,000","8,000","8,000","8,000","10,000","10,000","6,647","8,820","9,126","14,435","9,290","9,510","9,007","3,967","7,220","5,235",868,"1,191","5,037",948,"1,468","4,652","8,826","1,183","6,647","8,820","9,126","13,621",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
