Fund,Fund ID,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,,
General Fund,1,2,County Treasurer,County Treasurer,Office Supplies,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,2600,2000,2000,1500,2000,2000,2000,1600,1600,1600,1600,2100,2100,1163,1083,296,1432,349,1467.48,1000,2402,1789,1414,1089,1832,1871,1707,1430,1432,1427,1232,1894,2095,1163,1056,296,1432,349,1467.48,
General Fund,1,2,County Treasurer,County Treasurer,Postage,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,13862,14200,8500,10000,8500,8500,9200,10000,11500,14350,14450,13250,14850,17401,11776,4317,3320,320,3490,2000,13797,14184,8376,9864,8321,8090,8983,9953,11480,14327,14420,13232,14850,17401,11776,4317,3320,320,3490,
General Fund,1,2,County Treasurer,County Treasurer,Travel,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,1648,1135,1135,1135,1135,1385,1385,1085,1050,750,750,1050,699,899,802,374,0,0,0,0,1445,668,1075,809,1129,771,1166,826,776,659,658,878,699,899,802,374,0,0,0,
General Fund,1,2,County Treasurer,County Treasurer,Publishing,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,2800,3000,2800,2800,3300,3300,3300,3900,3600,1800,2700,2600,2522,3721,1000,0,0,0,0,0,2787,2923,1747,2770,2623,2445,2745,3839,3535,1732,2602,2586,2522,3721,1000,0,0,0,0,
General Fund,1,2,County Treasurer,County Treasurer,Telephone,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,1300,1550,1750,1250,1500,1250,1250,1250,1053,1200,1200,1400,1169,1200,1200,1219,1191,1187,1184.83,2000,1128,875,790,926,851,891,879,1056,762,1029,1113,1153,1169,1174,1182,1219,1191,1187,1174.07,
General Fund,1,2,County Treasurer,County Treasurer,Equipment Repairs,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,1400,10000,2000,2000,1500,1500,1500,1400,1100,1300,1100,800,1487,1081,1131,1100,1295,1507,1515.17,1600,1211,628,1048,630,1206,703,1179,988,941,1106,961,693,1487,992,1131,1100,1295,1507,1515.17,
General Fund,1,2,County Treasurer,County Treasurer,Insurance,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,900,900,900,900,1150,1150,1150,1150,1150,950,900,1150,1057,942,942,781,2,530,0,0,857,857,857,857,880,880,880,880,882,880,880,994,1057,942,46,781,2,530,0,
General Fund,1,2,County Treasurer,County Treasurer,Education & Training,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,200,200,700,200,700,700,0,0,250,50,0,250,0,0,0,15,200,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,15,200,0,0,
General Fund,1,2,County Treasurer,County Treasurer,Miscellaneous,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,200,400,600,600,600,600,600,700,600,500,600,600,488,0,46,0,0,200,331.2,1800,20,295,345,345,345,410,410,395,306,321,345,345,488,0,942,0,0,200,331.2,
General Fund,1,2,County Treasurer,County Treasurer,Equipment,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",County Treasurer,5000,0,1500,1500,1500,1500,1500,800,500,300,0,500,486,0,0,0,0,0,2244.97,1000,4913,0,529,1151,422,1086,1340,706,0,140,0,330,472,0,0,0,0,0,2244.97,
General Fund,1,3,Coroner's Expenses,Coroner's Expenses,Salaries & Benefits,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner’s office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",,20160,20160,25000,25000,25000,26200,37900,41400,41400,41400,42277,43474,44706,45975,47261,50145,46926,46930,46930,43895,20160,20160,23790,25000,25000,26200,37900,41400,41400,41400,42278,43474,44706,45975,40808,46295,46901,46926,46930,
General Fund,1,3,Coroner's Expenses,Coroner's Expenses,Office Supplies,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner’s office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,754,1535,522,374,902,1852,1454,1407,637,1078,409,873,724,1057,408,4085,4672,2500,2172.11,2000,754,332,311,374,871,1852,1454,1393,622,1078,409,873,724,1057,408,4031,4672,811,1394.46,
General Fund,1,3,Coroner's Expenses,Coroner's Expenses,Postage,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner’s office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,908,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,908,20.91,
General Fund,1,3,Coroner's Expenses,Coroner's Expenses,Medical Exams,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner’s office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,17559,10250,12403,13028,15743,20356,22150,23334,21762,24873,22737,22192,34617,21127,28367,18030,17462,20588,21296,20445,17595,10059,12403,13028,15743,20356,22124,23334,21512,24873,22738,22192,34616,21127,28368,9277,12407,13065,20305.38,
General Fund,1,3,Coroner's Expenses,Coroner's Expenses,Deputy Coroner Fees,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner’s office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,870,1000,1500,1500,1500,1500,931,661,521,450,400,550,600,300,400,1000,1000,800,800,900,870,840,805,1072,1180,1250,388,661,521,450,400,550,600,300,400,200,100,300,700,
General Fund,1,3,Coroner's Expenses,Coroner's Expenses,Special Fund for Extra Service,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner’s office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,0,0,0,0,0,0,0,0,0,0,0,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,10000,0,0,0,0,0,0,
General Fund,1,3,Coroner's Expenses,Coroner's Expenses,Telephone,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner’s office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,1132,1323,1500,1500,1803,2271,1965,2132,2402,2864,3268,2206,2248,2396,2515,1600,1875,1800,1938.91,1750,1132,1323,1187,1347,1803,2271,1947,2132,2313,2864,825,2206,2248,2396,2443,1460,1875,1346,1938.91,
General Fund,1,3,Coroner's Expenses,Coroner's Expenses,Insurance,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner’s office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,0,50,170,50,150,50,172,50,0,0,269,0,15,0,269,100,5,10,10,10,0,0,170,0,151,0,172,0,0,0,3269,0,0,0,269,2,2,0,2,
General Fund,1,3,Coroner's Expenses,Coroner's Expenses,Education & Training,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner’s office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,90,677,1000,1000,1406,1149,1183,1000,600,845,830,875,925,4153,4453,5525,6500,6700,6888.98,8200,90,75,410,95,1406,1149,1183,770,600,845,269,875,925,4153,4365,4357,5304,4596,6056.8,
General Fund,1,3,Coroner's Expenses,Coroner's Expenses,Transportation Fees,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner’s office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,1800,700,1200,1200,1600,
General Fund,1,3,Coroner's Expenses,Coroner's Expenses,Office Rent,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner’s office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,2400,1200,1300,1200,1300,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,2400,1100,1300,1100,1300,
General Fund,1,3,Coroner's Expenses,Coroner's Expenses,Coroner's Jurors Fees,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner’s office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,630,1200,1200,843,581,1107,730,1500,1199,990,807,830,665,158,281,150,418,500,500,500,630,417,602,790,581,577,630,360,1199,900,807,830,665,158,281,138,135,0,124.78,
General Fund,1,4,Burial of Soldiers,Burial of Soldiers,Miscellaneous,,"This line item helped cover the costs associated to the County regarding the burial of soldiers. Beginning in 2008, those expenses where covered in the County Adminstration line item.",County Board Office,0,1000,1000,1000,1000,1000,1000,1000,955,100,1827,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1827,0,0,0,0,0,0,0,0,
General Fund,1,5,County Board,County Board,Salaries & Benefits,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,58974,60048,71008,72531,73880,63201,75406,77408,110538,134718,133199,129454,129501,131849,83200,86300,86450,83802,64948.89,58140,57755,57380,65155,70823,73813,60933,73038,77408,110538,128488,133200,129452,129501,131849,82700,86270,86450,80950,61822.5,
General Fund,1,5,County Board,County Board,Office Supplies,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,1150,750,1282,856,1052,2100,2450,3676,2350,1707,1182,1460,1852,526,0,0,0,0,0,0,1045,605,1124,620,1052,1682,2302,3665,1595,1689,1160,1460,1733,526,0,0,0,0,0,
General Fund,1,5,County Board,County Board,Postage,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,400,704,800,904,435,1200,750,776,1000,1293,660,922,1300,830,0,0,0,0,0,0,372,704,800,533,435,792,750,776,845,1293,660,922,1195,741,0,0,0,0,0,
General Fund,1,5,County Board,County Board,Committee Meetings & Mileage,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35300,26275,27935,28735,22706.11,22060,0 ,0 ,0,0 ,0 ,0 ,0,0,0,0,0,0,0,0,28456,25546,27270,28735,22706.11,
General Fund,1,5,County Board,County Board,Travel,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,10450,10196,9950,10090,13310,11942,11642,10653,10942,10742,10800,10224,10797,11703,0,0,0,39,0,0,10255,9044,7543,7334,12128,9163,8275,10653,10514,9543,10801,10224,10797,11703,0,0,0,39,0,
General Fund,1,5,County Board,County Board,Printing,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,260,460,278,1720,1111,365,765,1054,900,1100,876,1032,1039,503,0,0,0,0,0,0,258,435,277,1720,1111,299,574,1054,695,1033,804,1032,938,503,0,0,0,0,0,
General Fund,1,5,County Board,County Board,Prescription Discounts,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,0,0,0,0,0,0,0,0,1500,1500,185,27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,312,150,27,11,0,0,0,0,0,0,
General Fund,1,5,County Board,County Board,Equipment Repair,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,0,0,0,0,0,0,0,0,3878,2500,552,323,1200,2071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2972,2047,532,323,1076,2071,0,0,0,0,0,
General Fund,1,5,County Board,County Board,Miscellaneous,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,0,0,0,0,0,0,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,0,0,0,0,0,0,0,
General Fund,1,5,County Board,County Board,Telephone,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,1350,1350,1650,1331,1350,1650,2150,1053,2889,2150,2173,2158,2300,1558,0,0,0,0,0,0,1285,1256,1357,1185,1097,1194,1511,1053,2744,1935,2173,2158,2148,1549,0,0,0,0,0,
General Fund,1,6,Courthouse,Courthouse,Supplies,,"The line item, under the control of the Sheriff, funds the general daily maintenance of the County Courthouse, primarily covering day to day upkeep of the building and related utility bills for the building.",Sheriff,7410,10371,7945,9508,3950,8754,4538,8953,3124,2663,3373,2707,5080,6720,4342,5230,7967,23,4000,4000,7410,10355,7027,6009,3950,8754,4538,4680,3124,2663,3373,2707,5080,6720,4342,5230,7967,23,4000,
General Fund,1,6,Courthouse,Courthouse,Telephone,,"The line item, under the control of the Sheriff, funds the general daily maintenance of the County Courthouse, primarily covering day to day upkeep of the building and related utility bills for the building.",Sheriff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,957.87,2000,,,,,,,,,,,,,,,,,,,957.87,
General Fund,1,6,Courthouse,Courthouse,Utilities,,"The line item, under the control of the Sheriff, funds the general daily maintenance of the County Courthouse, primarily covering day to day upkeep of the building and related utility bills for the building.",Sheriff,24359,36000,34449,36830,30055,38876,44320,48440,43138,45734,48368,49599,52500,63558,54779,58204,58028,44746,957.87,44000,24359,32011,33524,36830,30055,38876,44320,48440,43138,45734,48369,49598,48545,63558,54779,57185,58028,44746,957.87,
General Fund,1,6,Courthouse,Courthouse,Equipment Repair,,"The line item, under the control of the Sheriff, funds the general daily maintenance of the County Courthouse, primarily covering day to day upkeep of the building and related utility bills for the building.",Sheriff,35277,20416,21581,24162,43342,33669,19536,34000,19600,16664,13287,18894,34061,48918,52858,48341,42110,6664,5381.45,6000,35277,20416,21581,24162,43342,33669,19536,32182,19600,16664,13288,18894,34061,48856,52858,48341,42110,6664,5380.86,
General Fund,1,6,Courthouse,Courthouse,Equipment,,"The line item, under the control of the Sheriff, funds the general daily maintenance of the County Courthouse, primarily covering day to day upkeep of the building and related utility bills for the building.",Sheriff,625,713,0,3000,153,3000,235,3000,538,940,470,0,0,0,0,200,0,0,439.64,500,625,713,0,0,0,0,235,0,538,940,470,0,0,0,0,168,0,0,439.64,
General Fund,1,6,Courthouse,Courthouse,Building Repair,,"The line item, under the control of the Sheriff, funds the general daily maintenance of the County Courthouse, primarily covering day to day upkeep of the building and related utility bills for the building.",Sheriff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30741,19794,28571.53,27500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30741,19794,28571.53,
General Fund,1,6,Courthouse,Courthouse,Capital Outlay,,"The line item, under the control of the Sheriff, funds the general daily maintenance of the County Courthouse, primarily covering day to day upkeep of the building and related utility bills for the building.",Sheriff,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
General Fund,1,6,Courthouse,Courthouse,Miscellaneous,,"The line item, under the control of the Sheriff, funds the general daily maintenance of the County Courthouse, primarily covering day to day upkeep of the building and related utility bills for the building.",Sheriff,829,1000,525,1000,1000,201,279,4106,0,400,0,300,30359,75805,11021,11025,18444,15922,5699.68,0,275,484,525,680,955,0,279,4106,0,400,0,300,11496,75805,11021,11021,18444,15922,5699.68,
General Fund,1,7,Elections,Elections,Salaries & Benefits,http://www.macoupinvotes.com/,"The line item, controlled by the County Clerk, funds all costs related to elections administered by the County Clerk.",County Clerk,40869,44994,54188,44591,63528,38527,63356,46802,75340,53500,75300,53000,90800,53956,100966,59928,83594,52690,90258.83,60500,40811,44974,54181,44491,63528,29610,63356,46802,75340,41355,74571,40600,88109,48002,100967,59286,83594,50069,90258.83,
General Fund,1,7,Elections,Elections,Office Supplies,http://www.macoupinvotes.com/,"The line item, controlled by the County Clerk, funds all costs related to elections administered by the County Clerk.",County Clerk,12311,14972,12902,13000,13649,28220,8541,35897,12952,24273,29900,22000,30900,39444,21529,20000,22963,12703,5150.11,6000,12311,14972,12902,12811,13649,28220,8541,35897,12952,24273,29613,16498,29972,39444,21529,19552,22963,12595,5125.67,
General Fund,1,7,Elections,Elections,Telephone,http://www.macoupinvotes.com/,"The line item, controlled by the County Clerk, funds all costs related to elections administered by the County Clerk.",County Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2109.51,1000,,,,,,,,,,,,,,,,,,,2109.51,
General Fund,1,7,Elections,Elections,Postage,http://www.macoupinvotes.com/,"The line item, controlled by the County Clerk, funds all costs related to elections administered by the County Clerk.",County Clerk,0,0,0,0,0,0,0,0,0,0,10570,13000,13000,20000,6030,6500,5530,17213,7526.03,7500,0,0,0,0,0,0,0,0,0,0,10570,13000,13000,20000,6030,5000,5530,17213,7526.03,
General Fund,1,7,Elections,Elections,Printing,http://www.macoupinvotes.com/,"The line item, controlled by the County Clerk, funds all costs related to elections administered by the County Clerk.",County Clerk,21000,20652,26997,25097,12757,27000,885,10000,5949,25000,44000,37000,30500,24472,12449,17500,32814,16909,45360.66,45361,20849,20652,26997,25097,12757,26885,885,0,5949,24903,40968,24624,28725,23928,12449,17460,32814,16909,45360.66,
