Fund,Fund ID,Fund Description,Department,Short Title,Department ID,Control Officer,Link to Website,Department Description,Expense Line,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Treasurer,County Treasurer,2,County Treasurer,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",Publishing,2800,3000,2800,2800,3300,3300,3300,3900,3600,1800,2700,2600,2522,3721,1000,0,0,0,0,0,2787,2923,1747,2770,2623,2445,2745,3839,3535,1732,2602,2586,2522,3721,1000,0,0,0,0
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Treasurer,County Treasurer,2,County Treasurer,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",Telephone,1300,1550,1750,1250,1500,1250,1250,1250,1053,1200,1200,1400,1169,1200,1200,1219,1191,1187,1184.83,2000,1128,875,790,926,851,891,879,1056,762,1029,1113,1153,1169,1174,1182,1219,1191,1187,1174.07
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Treasurer,County Treasurer,2,County Treasurer,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",Equipment Repairs,1400,10000,2000,2000,1500,1500,1500,1400,1100,1300,1100,800,1487,1081,1131,1100,1295,1507,1515.17,1600,1211,628,1048,630,1206,703,1179,988,941,1106,961,693,1487,992,1131,1100,1295,1507,1515.17
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Treasurer,County Treasurer,2,County Treasurer,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",Insurance,900,900,900,900,1150,1150,1150,1150,1150,950,900,1150,1057,942,942,781,2,530,0,0,857,857,857,857,880,880,880,880,882,880,880,994,1057,942,46,781,2,530,0
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Treasurer,County Treasurer,2,County Treasurer,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",Education & Training,200,200,700,200,700,700,0,0,250,50,0,250,0,0,0,15,200,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,15,200,0,0
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Treasurer,County Treasurer,2,County Treasurer,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",Miscellaneous,200,400,600,600,600,600,600,700,600,500,600,600,488,0,46,0,0,200,331.2,1800,20,295,345,345,345,410,410,395,306,321,345,345,488,0,942,0,0,200,331.2
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Treasurer,County Treasurer,2,County Treasurer,http://macoupincountyil.gov/treasurer.htm,"The Macoupin County Treasurer's Office has the primary goals of mailing, collecting, investing, and distributing all real estate taxes for the county of cook. The Treasurer's Office prints and mails the real estate tax bills to the taxpayers of record.",Equipment,5000,0,1500,1500,1500,1500,1500,800,500,300,0,500,486,0,0,0,0,0,2244.97,1000,4913,0,529,1151,422,1086,1340,706,0,140,0,330,472,0,0,0,0,0,2244.97
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Coroner's Expenses,Coroner's Expenses,3,Coroner,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner’s office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Salaries & Benefits,20160,20160,25000,25000,25000,26200,37900,41400,41400,41400,42277,43474,44706,45975,47261,50145,46926,46930,46930,43895,20160,20160,23790,25000,25000,26200,37900,41400,41400,41400,42278,43474,44706,45975,40808,46295,46901,46926,46930
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Coroner's Expenses,Coroner's Expenses,3,Coroner,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner’s office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Office Supplies,754,1535,522,374,902,1852,1454,1407,637,1078,409,873,724,1057,408,4085,4672,2500,2172.11,2000,754,332,311,374,871,1852,1454,1393,622,1078,409,873,724,1057,408,4031,4672,811,1394.46
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Coroner's Expenses,Coroner's Expenses,3,Coroner,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner’s office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Postage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,908,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,908,20.91
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Coroner's Expenses,Coroner's Expenses,3,Coroner,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner’s office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Medical Exams,17559,10250,12403,13028,15743,20356,22150,23334,21762,24873,22737,22192,34617,21127,28367,18030,17462,20588,21296,20445,17595,10059,12403,13028,15743,20356,22124,23334,21512,24873,22738,22192,34616,21127,28368,9277,12407,13065,20305.38
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Coroner's Expenses,Coroner's Expenses,3,Coroner,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner’s office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Deputy Coroner Fees,870,1000,1500,1500,1500,1500,931,661,521,450,400,550,600,300,400,1000,1000,800,800,900,870,840,805,1072,1180,1250,388,661,521,450,400,550,600,300,400,200,100,300,700
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Coroner's Expenses,Coroner's Expenses,3,Coroner,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner’s office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Special Fund for Extra Service,0,0,0,0,0,0,0,0,0,0,0,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,10000,0,0,0,0,0,0
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Coroner's Expenses,Coroner's Expenses,3,Coroner,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner’s office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Telephone,1132,1323,1500,1500,1803,2271,1965,2132,2402,2864,3268,2206,2248,2396,2515,1600,1875,1800,1938.91,1750,1132,1323,1187,1347,1803,2271,1947,2132,2313,2864,825,2206,2248,2396,2443,1460,1875,1346,1938.91
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Coroner's Expenses,Coroner's Expenses,3,Coroner,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner’s office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Insurance,0,50,170,50,150,50,172,50,0,0,269,0,15,0,269,100,5,10,10,10,0,0,170,0,151,0,172,0,0,0,3269,0,0,0,269,2,2,0,2
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Coroner's Expenses,Coroner's Expenses,3,Coroner,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner’s office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Education & Training,90,677,1000,1000,1406,1149,1183,1000,600,845,830,875,925,4153,4453,5525,6500,6700,6888.98,8200,90,75,410,95,1406,1149,1183,770,600,845,269,875,925,4153,4365,4357,5304,4596,6056.8
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Coroner's Expenses,Coroner's Expenses,3,Coroner,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner’s office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Transportation Fees,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,1800,700,1200,1200,1600
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Coroner's Expenses,Coroner's Expenses,3,Coroner,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner’s office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Office Rent,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,2400,1200,1300,1200,1300,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,2400,1100,1300,1100,1300
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Coroner's Expenses,Coroner's Expenses,3,Coroner,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner’s office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner's Jurors Fees,630,1200,1200,843,581,1107,730,1500,1199,990,807,830,665,158,281,150,418,500,500,500,630,417,602,790,581,577,630,360,1199,900,807,830,665,158,281,138,135,0,124.78
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",Burial of Soldiers,Burial of Soldiers,4,County Board Office,,"This line item helped cover the costs associated to the County regarding the burial of soldiers. Beginning in 2008, those expenses where covered in the County Adminstration line item.",Miscellaneous,0,1000,1000,1000,1000,1000,1000,1000,955,100,1827,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1827,0,0,0,0,0,0,0,0
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Board,County Board,5,County Board Office,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",Salaries & Benefits,58974,60048,71008,72531,73880,63201,75406,77408,110538,134718,133199,129454,129501,131849,83200,86300,86450,83802,64948.89,58140,57755,57380,65155,70823,73813,60933,73038,77408,110538,128488,133200,129452,129501,131849,82700,86270,86450,80950,61822.5
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Board,County Board,5,County Board Office,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",Office Supplies,1150,750,1282,856,1052,2100,2450,3676,2350,1707,1182,1460,1852,526,0,0,0,0,0,0,1045,605,1124,620,1052,1682,2302,3665,1595,1689,1160,1460,1733,526,0,0,0,0,0
General Fund,1,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",County Board,County Board,5,County Board Office,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",Postage,400,704,800,904,435,1200,750,776,1000,1293,660,922,1300,830,0,0,0,0,0,0,372,704,800,533,435,792,750,776,845,1293,660,922,1195,741,0,0,0,0,0
