Function,Agency,Fund Type,FP Category,Fund,Subfund,Subfund Name,2025-26  Estimates,2024-25  Estimates,2023-24  Actuals,2022-23  Actuals,2021-22  Actuals,2020-21  Actuals,2019-20  Actuals,2018-19  Actuals,2017-18  Actuals,2016-17  Actuals,2015-16  Actuals,2014-15  Actuals,2013-14  Actuals,2012-13  Actuals,2011-12  Actuals,2010-11  Actuals,2009-10  Actuals,2008-09  Actuals,2007-08  Actuals,2006-07  Actuals,2005-06  Actuals,2004-05  Actuals,2003-04  Actuals,2002-03  Actuals,2001-02  Actuals,2000-01  Actuals,1999-00  Actuals,1998-99  Actuals,1997-98  Actuals,1996-97  Actuals,1995-96  Actuals,1994-95  Actuals
Economic Development and Government Oversight,"Agriculture and Markets, Department of",General Fund,Assistance and Grants,Community Projects Fund,10253,Comm Proj CC,0 ,0 ,10,0 ,0 ,0 ,10,40,40,128,53,17,253,0 ,0 ,186,659,145,103,130,235,351,137,167,2,24,158,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",General Fund,Non-Personal Service,Community Projects Fund,10253,Comm Proj CC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,25,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",General Fund,Personal Service,Community Projects Fund,10253,Comm Proj CC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,142,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",General Fund,Assistance and Grants,Community Projects Fund,10255,Comm Proj EE,0 ,0 ,15,0 ,0 ,0 ,0 ,0 ,3,8,3,0 ,0 ,6,11,7,90,83,35,0 ,18,7,6,8,19,77,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",General Fund,Assistance and Grants,Community Projects Fund,10256,Comm Proj GG,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,9,0 ,0 ,32,99,122,299,298,320,1,22,0 ,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",General Fund,Assistance and Grants,Local Assistance Account,10000,Local Assistnce,"44,792","52,669","45,783","29,427","32,359","23,182","35,037","32,987","32,275","31,844","27,218","25,233","21,151","19,329","24,446","14,448","25,653","25,872","28,175","18,589","14,292","13,115","13,579","13,151","13,168","13,561","13,161","11,515","10,269","8,562","13,191","13,764"
Economic Development and Government Oversight,"Agriculture and Markets, Department of",General Fund,Non-Personal Service,State Operations Account,10050,State Purposes,"6,173","4,405","5,344","4,890","4,863","4,575","7,548","5,245","4,893","5,492","7,414","7,392","7,315","6,331","7,599","6,208","8,060","12,151","11,500","12,865","9,495","8,934","6,581","6,757","7,458","7,221","5,651","6,054","4,873","4,351","4,271","5,871"
Economic Development and Government Oversight,"Agriculture and Markets, Department of",General Fund,Personal Service,State Operations Account,10050,State Purposes,"42,630","38,436","35,981","31,388","31,626","30,712","28,153","27,105","28,155","27,374","25,269","25,828","24,433","23,878","18,509","21,529","23,245","24,685","23,060","22,052","21,841","20,335","19,646","18,752","19,112","17,590","15,404","15,392","14,220","14,104","15,246","16,788"
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Non-Personal Service,Federal Block Grants Fund,25250,HHS Block Grant,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,30,30
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Fringe Benefits,Federal Health and Human Services Fund,25100,Federal HHS,441,441,611,740,625,435,422,413,141,130,122,245,165,9,90,94,83,57,44,53,13,18,3,7,25,9,13,14,26,19,20,-7
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Indirect Costs,Federal Health and Human Services Fund,25100,Federal HHS,56,56,188,184,182,61,57,245,62,9,12,24,9,1,8,7,11,10,7,3,2,4,0 ,2,0 ,11,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Non-Personal Service,Federal Health and Human Services Fund,25100,Federal HHS,180,180,653,932,996,773,668,585,195,16,27,48,66,207,194,88,38,98,152,430,103,58,31,56,158,37,40,83,30,48,208,17
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Personal Service,Federal Health and Human Services Fund,25100,Federal HHS,679,679,946,"1,183","1,023",724,722,493,393,258,229,234,260,263,229,192,175,129,141,125,44,36,32,23,46,39,40,57,73,63,70,70
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Assistance and Grants,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,212,"1,936",889,240,"1,370","9,763",221,503,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Fringe Benefits,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0 ,0 ,0 ,0 ,81,0 ,50,51,0 ,30,0 ,0 ,0 ,0 ,0 ,0 ,50,617,826,"1,082",501,519,398,158,278,209,251,200,260,224,206,208
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Indirect Costs,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0 ,0 ,0 ,0 ,12,0 ,7,20,0 ,2,0 ,0 ,0 ,0 ,0 ,0 ,7,120,113,62,51,165,178,53,0 ,7,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0 ,0 ,759,193,125,182,125,177,0 ,54,0 ,0 ,370,44,56,143,739,"3,674","4,333","6,299","7,146","3,585","3,197","2,882","2,825","1,874","2,420","1,899","1,886","1,223","1,956",699
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0 ,0 ,0 ,0 ,131,0 ,82,81,0 ,23,32,0 ,0 ,0 ,0 ,0 ,67,"1,378","1,754","2,460","1,301",888,936,"1,413","1,005",850,791,843,741,752,740,706
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Fringe Benefits,Federal Miscellaneous Operating Grants Fund,25542,Cares Act,0 ,0 ,0 ,0 ,318,517,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,25542,Cares Act,0 ,0 ,0 ,0 ,6,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Personal Service,Federal Miscellaneous Operating Grants Fund,25542,Cares Act,0 ,0 ,0 ,0 ,551,896,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Assistance and Grants,Federal USDA / Food and Nutrition Services Fund,25000,Fed USDA/FNS,0 ,0 ,"1,049",921,520,"1,079",363,18,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Fringe Benefits,Federal USDA / Food and Nutrition Services Fund,25000,Fed USDA/FNS,"1,775","1,775","2,533","2,475","1,107","1,285","2,332","2,305","1,899","1,887","1,934","1,909","1,597","1,146",992,906,710,183,0 ,41,30,68,8,6,14,8,18,14,9,8,14,17
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Indirect Costs,Federal USDA / Food and Nutrition Services Fund,25000,Fed USDA/FNS,224,224,495,367,163,180,314,"1,312",226,142,193,192,114,68,87,72,98,31,0 ,3,4,27,1,10,0 ,101,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Non-Personal Service,Federal USDA / Food and Nutrition Services Fund,25000,Fed USDA/FNS,"9,348","9,348","14,265","7,697","6,560","6,011","8,762","9,983","9,576","8,403","9,057","8,442","7,255","8,459","8,523","9,580","7,478","6,214","4,562","4,702","5,334","5,270","4,586","4,542","4,148","2,622","2,318","2,435","1,520","1,576","1,710","1,132"
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Personal Service,Federal USDA / Food and Nutrition Services Fund,25000,Fed USDA/FNS,"2,734","2,734","3,945","3,410","2,259","2,247","3,832","3,154","3,076","3,384","3,932","3,084","2,660","2,732","2,719","2,103","1,725",827,7,95,77,161,52,49,55,60,62,60,36,41,30,103
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Federal,Non-Personal Service,Federal USDA / Food and Nutrition Services Fund,250FS,Federal Stimulu,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,21948,Farm Prod Insp-,436,436,62,56,108,143,68,972,457,327,248,265,275,317,0 ,640,641,719,382,619,740,536,251,101,151,225,182,200,191,367,359,218
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,21948,Farm Prod Insp-,22,22,0 ,0 ,0 ,1,0 ,18,0 ,3,0 ,14,8,15,5,62,57,64,33,50,62,55,31,17,0 ,31,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21948,Farm Prod Insp-,124,124,117,119,87,78,208,99,122,134,112,179,125,159,65,160,132,66,224,155,117,202,104,225,255,51,197,41,41,112,206,103
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,21948,Farm Prod Insp-,723,721,472,600,879,"1,066",575,769,749,866,551,649,"1,170",562,"1,125","1,523","1,717","1,433","1,191",972,"1,328","1,282","1,181","1,204",983,839,941,924,"1,205","1,090","1,489","1,469"
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,21950,FgrprintID&Tech,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,31,21
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21950,FgrprintID&Tech,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8,18,20
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,21950,FgrprintID&Tech,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2,133,91
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,21966,Cons Food Indus,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,361,0 ,"2,570","2,104","1,174","1,219",908,817,790,425,46,121,193,161,233,264,216,212,180
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,21966,Cons Food Indus,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,32,95,194,176,110,102,74,71,77,46,9,0 ,27,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21966,Cons Food Indus,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,(2),192,452,565,201,470,(94),486,486,288,506,32,5,27,36,38,51,16,67
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,21966,Cons Food Indus,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,612,"4,983","5,181","5,479","2,865","2,698","1,948","1,684","1,352","1,239","1,489",373,623,425,775,712,698,606,684
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,219XX,A&M-Aggregated,286,286,130,161,166,179,168,393,125,383,290,280,222,318,636,774,"1,002",559,653,793,463,485,223,203,-1,243,316,107,283,373,300,286
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,219XX,A&M-Aggregated,15,15,4,9,7,8,9,19,6,18,12,18,12,21,48,59,97,51,57,55,41,35,32,12,0 ,34,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,219XX,A&M-Aggregated,14,14,2,4,7,0 ,8,10,11,"6,247","17,460","15,151","15,920","13,437","17,322","18,482","17,561","15,988","14,002","13,520","13,564","16,002","12,051","15,072","13,922","11,957","10,508","10,617","10,449","10,928","11,767","11,046"
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,219XX,A&M-Aggregated,474,473,165,225,355,298,263,349,354,659,547,409,492,408,"1,362","1,562","1,980","1,556","1,486","1,290","1,217",833,535,"1,020",458,682,869,721,667,946,"1,101","1,032"
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,219ZR,Milk Producers,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4,26,29
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,219ZR,Milk Producers,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,5,19
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,219ZR,Milk Producers,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4,71,110
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22011,Public Service,171,171,171,156,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13,68,63,61,78,77,35,22,39,31,36,34,47,55,57,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,22011,Public Service,9,9,7,8,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,5,5,5,7,8,4,3,0 ,4,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22011,Public Service,20,20,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4,22,29,18,6,33,4,33,13,22,25,27,25,32,32,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22011,Public Service,284,284,255,244,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,145,136,137,141,138,134,134,128,125,114,126,113,165,183,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22020,Comm Feed Lic,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,19,2,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Assistance and Grants,Miscellaneous State Special Revenue,22025,Comm Svce Assis,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,45,0 ,0 ,368,"1,214","1,649","1,138",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22029,Plant Industry,486,486,30,30,2,318,69,373,34,185,92,178,108,184,169,162,145,121,105,130,106,65,7,1,9,12,4,-2,17,24,21,15
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,22029,Plant Industry,26,26,1,1,0 ,14,4,21,2,9,4,14,6,8,13,13,13,12,9,11,9,6,1,0 ,0 ,2,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22029,Plant Industry,91,91,2,4,5,8,0 ,1,3,2,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-27,99,1,1,1,102,3,3,3
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22029,Plant Industry,809,809,52,48,7,510,108,505,110,288,261,219,279,258,350,350,346,270,234,280,254,151,55,36,32,23,14,1,30,68,68,67
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22118,Animal Populati,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7,42,49,25,29,36,20,20,35,25,23,14,13,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,22118,Animal Populati,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,4,4,2,3,4,3,3,0 ,4,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22118,Animal Populati,876,876,872,"1,092",650,650,867,867,867,867,850,684,867,974,"1,459",0 ,849,"1,094",930,419,361,290,210,273,381,425,425,474,271,50,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22118,Animal Populati,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,84,105,67,44,69,62,87,115,107,74,54,42,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22137,Pet Dealer,0 ,0 ,27,32,30,11,28,56,8,14,0 ,0 ,0 ,18,5,24,21,10,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,22137,Pet Dealer,0 ,0 ,1,2,1,0 ,2,3,0 ,1,0 ,0 ,0 ,1,1,2,2,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22137,Pet Dealer,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2,1,48,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22137,Pet Dealer,0 ,0 ,41,50,48,17,45,87,12,24,0 ,0 ,0 ,0 ,37,49,51,32,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Economic Development and Government Oversight,"Agriculture and Markets, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22149,Motor Fuel Qual,768,768,698,772,678,772,895,"1,131",554,722,770,517,602,444,480,491,538,594,545,495,614,572,266,165,287,220,260,225,296,271,245,165
