Agency,1996-97  Actuals,Fund Type,1998-99  Actuals,2006-07  Actuals,2010-11  Actuals,Function,2013-14  Actuals,FP Category,2003-04  Actuals,2009-10  Actuals,2007-08  Actuals,Fund,2000-01  Actuals,2015-16  Estimates,2005-06  Actuals,Subfund Name,2008-09  Actuals,2002-03  Actuals,1999-00  Actuals,2001-02  Actuals,Subfund,1994-95  Actuals,2012-13  Actuals,1995-96  Actuals,2011-12  Actuals,2014-15  Estimates,1997-98  Actuals,2004-05  Actuals,Fund Description,FP Category Description,Fund Type Description
Empire State Development Corporation,0.0,Capital Projects Funds - Other,0.0,1550000.0,0.0,Economic Development and Government Oversight,333000.0,Capital Projects,0.0,1428000.0,9938000.0,Capital Projects Fund,0.0,0.0,0.0,CPF-DT Buffalo,5426000.0,0.0,0.0,0.0,300CK,0.0,0.0,0.0,0.0,0.0,0.0,6000000.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Energy Research and Development Authority, New York State",0.0,Capital Projects Funds - Other,0.0,0.0,0.0,Economic Development and Government Oversight,5946000.0,Capital Projects,0.0,0.0,0.0,Capital Projects Fund,0.0,12500000.0,0.0,Capital Project,0.0,13250000.0,0.0,15250000.0,30000,0.0,11544000.0,0.0,13000000.0,12100000.0,0.0,0.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Energy Research and Development Authority, New York State",0.0,Capital Projects Funds - Other,0.0,14000000.0,16403000.0,Economic Development and Government Oversight,0.0,Capital Projects,13250000.0,13500000.0,13500000.0,Capital Projects Fund,0.0,10100000.0,11350000.0,CPF - Auth Bond,5217000.0,0.0,0.0,0.0,300CC,11800000.0,0.0,16500000.0,1629000.0,2200000.0,0.0,11350000.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
Harlem Urban Development Corporation,0.0,Capital Projects Funds - Other,0.0,0.0,0.0,Economic Development and Government Oversight,0.0,Capital Projects,0.0,0.0,0.0,Capital Projects Fund,0.0,0.0,0.0,Capital Project,0.0,0.0,0.0,0.0,30000,0.0,0.0,500000.0,0.0,0.0,0.0,0.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
High Technology and Development Program,0.0,Capital Projects Funds - Other,0.0,15459000.0,2251000.0,Economic Development and Government Oversight,21000.0,Capital Projects,0.0,18436000.0,42251000.0,Capital Projects Fund,0.0,5000000.0,0.0,CPF - Auth Bond,28898000.0,0.0,0.0,0.0,300CC,0.0,14000.0,0.0,821000.0,5000000.0,0.0,0.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
Olympic Regional Development Authority,6200000.0,Capital Projects Funds - Other,2317000.0,0.0,0.0,Economic Development and Government Oversight,0.0,Capital Projects,0.0,0.0,0.0,Capital Projects Fund,0.0,0.0,0.0,Capital Project,0.0,0.0,10617000.0,0.0,30000,3200000.0,0.0,3808000.0,0.0,0.0,2317000.0,0.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
Olympic Regional Development Authority,0.0,Capital Projects Funds - Other,0.0,0.0,0.0,Economic Development and Government Oversight,0.0,Capital Projects,0.0,0.0,50000.0,Capital Projects Fund,0.0,7500000.0,0.0,CPF - Auth Bond,100000.0,0.0,0.0,0.0,300CC,0.0,0.0,0.0,0.0,6900000.0,0.0,0.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
Regional Economic Development Program,0.0,Capital Projects Funds - Other,0.0,0.0,0.0,Economic Development and Government Oversight,0.0,Capital Projects,0.0,0.0,34561000.0,Capital Projects Fund,0.0,1500000.0,7000000.0,CPF - Auth Bond,1614000.0,0.0,0.0,0.0,300CC,0.0,0.0,0.0,0.0,1500000.0,0.0,0.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Science, Technology and Innovation, NYS Foundation for",0.0,Capital Projects Funds - Other,0.0,0.0,5740000.0,Economic Development and Government Oversight,0.0,Capital Projects,0.0,0.0,1889000.0,Capital Projects Fund,0.0,0.0,0.0,CPF - Auth Bond,0.0,0.0,0.0,0.0,300CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
Strategic Investment Program,0.0,Capital Projects Funds - Other,0.0,4840000.0,3561000.0,Economic Development and Government Oversight,0.0,Capital Projects,5000000.0,8827000.0,9704000.0,Capital Projects Fund,0.0,5000000.0,2930000.0,CPF - Auth Bond,3195000.0,4000000.0,0.0,12450000.0,300CC,0.0,0.0,0.0,3718000.0,5000000.0,0.0,8284000.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
Adirondack Park Agency,0.0,Capital Projects Funds - Other,0.0,0.0,0.0,Parks and the Environment,0.0,Capital Projects,0.0,0.0,0.0,Capital Projects Fund,0.0,0.0,0.0,Capital Project,0.0,0.0,0.0,118000.0,30000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Environmental Conservation, Department of",10656000.0,Capital Projects Funds - Other,15858000.0,34075000.0,23347000.0,Parks and the Environment,18289000.0,Capital Projects,9769000.0,19975000.0,42414000.0,Capital Projects Fund,17184000.0,18542000.0,19086000.0,Capital Project,12520000.0,17646000.0,17065000.0,20864000.0,30000,29653000.0,18260000.0,27070000.0,18127000.0,18430000.0,18753000.0,16827000.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Environmental Conservation, Department of",0.0,Capital Projects Funds - Other,0.0,12446000.0,2769000.0,Parks and the Environment,2295000.0,Capital Projects,26883000.0,17470000.0,8758000.0,Capital Projects Fund,0.0,7400000.0,2206000.0,CPF - Advances,5684000.0,7829000.0,0.0,4823000.0,300AA,0.0,2246000.0,0.0,3767000.0,7400000.0,0.0,3345000.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Environmental Conservation, Department of",67406000.0,Capital Projects Funds - Other,140797000.0,0.0,0.0,Parks and the Environment,0.0,Capital Projects,0.0,0.0,0.0,Capital Projects Fund,122821000.0,0.0,0.0,CPF - GO Bonds,0.0,111071000.0,164100000.0,161914000.0,300BB,21245000.0,0.0,-123910000.0,0.0,0.0,69214000.0,0.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Environmental Conservation, Department of",0.0,Capital Projects Funds - Other,0.0,3341000.0,672000.0,Parks and the Environment,0.0,Capital Projects,5824000.0,511000.0,2240000.0,Capital Projects Fund,0.0,1500000.0,4018000.0,CPF-EQBA(Bond),927000.0,0.0,0.0,0.0,300BD,0.0,0.0,0.0,2996000.0,1500000.0,0.0,1421000.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
"Environmental Conservation, Department of",0.0,Capital Projects Funds - Other,0.0,4533000.0,1456000.0,Parks and the Environment,0.0,Capital Projects,900000.0,535000.0,1425000.0,Capital Projects Fund,0.0,600000.0,2050000.0,CPF-PWBA(Bond),1779000.0,0.0,0.0,0.0,300BE,0.0,0.0,0.0,744000.0,600000.0,0.0,100000.0,To account for the financing of the construction of capital facilities or the acquisition of capital facilities.,"Include payments made for the acquisition or construction of the State’s capital facilities.  Included in this category are planning, land acquisition, design, construction, engineering services, and equipment costs attributable to highway, parkway and rail preservation projects; outdoor recreation and environmental conservation projects; payments to local government units and public authorities to help finance highways, parkways, bridges, mass transportation, aviation, economic development, port development, community colleges, community and State mental hygiene buildings, outdoor recreational parks, correctional facilities and State-assisted housing as well as environmental quality projects.  Advances are made for capital construction costs reimbursable by public authorities, the Federal or local governments, or from the proceeds of State bond and note sales.",These funds are used to account for the non-Federal financial resources used for the acquisition or construction of major State-owned capital facilities and for capital assistance grants to local governments and public authorities. 
